,symbol,common_name,scientific_name,species,state_and_province,category,family,family_common_name,duration,growth_habit,native_status,invasive,active_growth_period,after_harvest_regrowth_rate,fall_conspicuous,fire_resistance,flower_color,flower_conspicuous,foliage_color,fruit_conspicuous,growth_form,growth_rate,height_at_base_age_maximum_feet,height_mature_feet,leaf_retention,lifespan,resprout_ability,shape_and_orientation,toxicity,adapted_to_coarse_textured_soils,adapted_to_medium_textured_soils,adapted_to_fine_textured_soils,anaerobic_tolerance,cacosub3sub_tolerance,cold_stratification_required,drought_tolerance,fertility_requirement,fire_tolerance,frost_free_days_minimum,hedge_tolerance,moisture_use,ph_minimum,ph_maximum,planting_density_per_acre_minimum,planting_density_per_acre_maximum,precipitation_minimum,precipitation_maximum,root_depth_minimum_inches,salinity_tolerance,shade_tolerance,temperature_minimum_f,bloom_period,commercial_availability,fruitseed_abundance,fruitseed_period_begin,fruitseed_period_end,fruitseed_persistence,propogated_by_bare_root,propogated_by_bulbs,propogated_by_container,propogated_by_corms,propogated_by_cuttings,propogated_by_seed,propogated_by_sod,propogated_by_sprigs,propogated_by_tubers,seeds_per_pound,seed_spread_rate,seedling_vigor,small_grain,vegetative_spread_rate,berrynutseed_product,christmas_tree_product,fodder_product,fuelwood_product,lumber_product,naval_store_product,nursery_stock_product,palatable_browse_animal,palatable_graze_animal,palatable_human,post_product,protein_potential,pulpwood_product,veneer_product
407,ACCO4,Columbian monkshood,Aconitum columbianum,columbianum,"USA (AZ, CA, CO, IA, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (BC)",Dicot,Ranunculaceae,Buttercup family,Perennial,Forb/herb,"L48 (N), CAN (N)",,Spring and Summer,Slow,No,No,Blue,Yes,Green,No,Single Crown,Moderate,,5,No,Moderate,No,Erect,Moderate,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Medium,110,None,High,5.4,7.2,700,1200,12,50,10,None,Intermediate,-28,Early Summer,Routinely Available,Medium,Summer,Summer,No,No,No,Yes,No,No,Yes,No,No,No,,Moderate,Medium,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
433,ACCY2,coastal wattle,Acacia cyclops,cyclops,USA (CA),Dicot,Fabaceae,Pea family,Perennial,Shrub,L48 (I),,Spring and Summer,,No,No,Yellow,Yes,Dark Green,Yes,Multiple Stem,Rapid,12,12,Yes,Short,Yes,Semi-Erect,None,Yes,Yes,Yes,None,Low,No,High,Low,Medium,180,High,Medium,6,8.3,700,1200,16,40,18,Medium,Intolerant,14,Mid Spring,Field Collections Only,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,35000,Slow,Medium,No,None,No,No,No,,No,No,Yes,Low,,No,No,Low,No,No
546,ACGLD4,Douglas maple,Acer glabrum var. douglasii,glabrum,"USA (AK, CA, ID, MT, NV, OR, WA, WY), CAN (AB, BC)",Dicot,Aceraceae,Maple family,Perennial,"Tree, Shrub","L48 (N), AK (I?), CAN (N)",,Spring and Summer,,Yes,No,Green,No,Green,No,Single Stem,Moderate,20,30,No,Moderate,Yes,Erect,None,Yes,Yes,No,None,Low,Yes,Low,Medium,Low,120,None,Medium,5.5,7.5,700,2700,16,50,24,None,Tolerant,-13,Late Spring,Contracting Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,16000,Slow,Medium,No,None,No,No,No,Low,No,No,Yes,Medium,Medium,No,No,Low,No,No
557,ACGR,catclaw acacia,Acacia greggii,greggii,"USA (AZ, CA, NM, NV, TX, UT)",Dicot,Fabaceae,Pea family,Perennial,"Tree, Shrub",L48 (N),,Spring and Summer,,No,No,Yellow,Yes,Green,Yes,Multiple Stem,Slow,15,20,No,Long,Yes,Erect,None,Yes,Yes,Yes,None,High,No,High,Low,High,250,High,Low,6.5,8.5,300,700,3,20,12,None,Intolerant,-13,Mid Spring,Field Collections Only,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,1360,Moderate,High,No,None,No,No,No,,Yes,No,No,Medium,,Yes,No,Medium,No,No
618,ACHY,Indian ricegrass,Achnatherum hymenoides,hymenoides,"USA (AR, AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (AB, BC, MB, SK, YT)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), CAN (N)",,"Spring, Summer, Fall",Moderate,No,No,Yellow,No,Green,No,Bunch,Moderate,,2,No,Short,No,Erect,None,Yes,Yes,No,None,High,Yes,High,Low,High,90,None,Low,6.6,8.6,,,6,16,18,Low,Intolerant,-43,Late Spring,Routinely Available,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,161920,Moderate,High,No,None,No,No,Yes,,No,No,No,High,High,No,No,Medium,No,No
689,ACLE9,Letterman's needlegrass,Achnatherum lettermanii,lettermanii,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, UT, WY)",Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,"Spring, Summer, Fall",Slow,No,No,Yellow,No,Green,No,Bunch,Slow,,2,No,Moderate,No,Semi-Erect,None,Yes,Yes,No,None,Medium,No,High,Low,High,90,None,Low,6,7.6,,,6,20,12,None,Intolerant,-28,Summer,Contracting Only,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,225000,Moderate,High,No,None,No,No,Yes,,No,No,No,High,High,No,No,Low,No,No
691,ACLEL,Lemmon's needlegrass,Achnatherum lemmonii var. lemmonii,lemmonii,"USA (AZ, CA, ID, MT, NV, OR, UT, WA)",Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,"Spring, Summer, Fall",Slow,No,No,Yellow,No,Green,No,Bunch,Slow,,3,No,Moderate,No,Semi-Erect,None,Yes,Yes,No,None,Medium,No,High,Low,High,90,None,Low,6,7.5,,,10,20,12,None,Intolerant,-28,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,239000,Moderate,Medium,No,None,No,No,Yes,,No,No,No,Medium,Medium,No,No,Low,No,No
702,ACLO,Sydney golden wattle,Acacia longifolia,longifolia,USA (CA),Dicot,Fabaceae,Pea family,Perennial,"Tree, Shrub",L48 (I),,Spring and Summer,,No,No,Yellow,Yes,Green,Yes,Multiple Stem,Rapid,20,20,Yes,Short,Yes,Semi-Erect,None,Yes,Yes,Yes,None,Low,No,High,Low,Medium,180,High,Medium,6,8.3,700,1200,16,40,24,Low,Intolerant,14,Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,33000,Slow,Medium,No,None,No,No,No,,No,No,Yes,Low,,No,No,Low,No,No
729,ACME,blackwood,Acacia melanoxylon,melanoxylon,"USA (CA, HI)",Dicot,Fabaceae,Pea family,Perennial,Tree,"L48 (I), HI (I)",HEAR,Spring and Summer,,No,No,White,Yes,Dark Green,Yes,Multiple Stem,Rapid,40,40,Yes,Short,Yes,Erect,None,Yes,Yes,Yes,None,Low,No,High,Low,Medium,180,Medium,Medium,6,8.3,300,1200,16,40,28,Low,Intolerant,14,Early Spring,No Known Source,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,31200,Slow,Medium,No,Moderate,No,No,No,,No,No,Yes,Low,,No,No,Low,No,No
740,ACMI2,common yarrow,Achillea millefolium,millefolium,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,"L48 (NI), AK (N), HI (I), CAN (NI), GL (N), SPM (NI)","KY, N'EAST, NE&GP, SWSS",Spring,Moderate,No,No,White,Yes,Green,No,Rhizomatous,Moderate,,3,No,Moderate,No,Erect,Slight,No,Yes,No,None,Medium,No,Medium,Medium,High,120,None,Medium,6,8,4800,19000,8,60,8,Low,Intermediate,-38,Early Summer,Routinely Available,Medium,Summer,Summer,Yes,No,No,Yes,No,No,Yes,No,Yes,No,2852012,Slow,Low,No,Slow,No,No,No,,No,No,Yes,Medium,Low,No,No,Low,No,No
764,ACMIO,western yarrow,Achillea millefolium var. occidentalis,millefolium,"USA (AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT), DEN (GL), FRA (SPM)",Dicot,Asteraceae,Aster family,Perennial,Forb/herb,"L48 (N), AK (N), CAN (N), GL (N), SPM (N)",,Spring,Moderate,No,No,White,Yes,Green,No,Rhizomatous,Moderate,,3,No,Moderate,No,Erect,Slight,Yes,Yes,No,None,Medium,No,Medium,Low,High,100,None,Medium,6,8,4800,19000,8,26,8,Low,Intermediate,-38,Late Spring,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,3411818,Moderate,High,No,Rapid,No,No,No,,No,No,No,Low,Low,No,No,Low,No,No
797,ACNE2,boxelder,Acer negundo,negundo,"USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, NT, ON, PE, QC, SK)",Dicot,Aceraceae,Maple family,Perennial,Tree,"L48 (N), CAN (N)",N'EAST,Spring and Summer,,Yes,No,White,No,Green,Yes,Multiple Stem,Rapid,35,60,No,Short,Yes,Erect,None,Yes,Yes,Yes,Medium,High,Yes,High,Medium,Low,100,None,Medium,5,7.8,300,1200,15,75,40,Medium,Tolerant,-46,Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,11360,Slow,Low,No,Slow,No,No,No,Low,No,No,Yes,Low,Low,Yes,No,Low,Yes,No
808,ACNED,Dore's needlegrass,Achnatherum nelsonii ssp. dorei,nelsonii,"USA (AZ, CA, CO, ID, MT, NM, NV, OR, SD, TX, UT, WA, WY), CAN (AB, BC, SK, YT)",Monocot,Poaceae,Grass family,Perennial,Graminoid,"L48 (N), CAN (N)",,Spring and Summer,Moderate,No,No,Yellow,No,Green,No,Bunch,Moderate,,3,No,Short,No,Erect,None,No,Yes,No,None,Medium,No,High,Low,High,135,None,Low,6.8,8,,,6,20,10,None,Intolerant,-28,Early Summer,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,213000,Slow,Low,No,None,No,No,Yes,,No,No,No,Low,Medium,No,No,Medium,No,No
860,ACOCO,western needlegrass,Achnatherum occidentale ssp. occidentale,occidentale,USA (CA),Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,Spring and Summer,Slow,No,No,Yellow,No,Green,No,Bunch,Moderate,,2,No,Moderate,No,Erect,None,Yes,Yes,No,None,Low,No,High,Low,High,110,None,Low,5.7,7.5,,,8,14,16,Low,Intermediate,-28,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,285000,Moderate,,No,Moderate,No,No,Yes,,No,No,No,Medium,Medium,No,No,Low,No,No
945,ACPS,sycamore maple,Acer pseudoplatanus,pseudoplatanus,"USA (CT, DC, DE, IL, KY, MA, MD, ME, MI, NC, NJ, NY, PA, RI), CAN (BC, NB, NS, ON)",Dicot,Aceraceae,Maple family,Perennial,Tree,"L48 (I), CAN (I)",STATE,Spring and Summer,,No,No,Green,No,Yellow-Green,Yes,Single Stem,Moderate,60,70,No,Moderate,Yes,Erect,None,No,Yes,Yes,None,Low,Yes,Medium,Medium,Medium,140,Medium,Medium,5.8,7,300,700,32,60,48,Medium,Intolerant,-23,Late Spring,No Known Source,High,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,5920,Moderate,Medium,No,None,No,No,No,Medium,No,No,Yes,Low,Low,No,No,Low,No,No
1009,ACRU,red maple,Acer rubrum,rubrum,"USA (AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WI, WV), CAN (NB, NF, NS, ON, PE, QC)",Dicot,Aceraceae,Maple family,Perennial,Tree,"L48 (N), CAN (N)",N'EAST,Spring and Summer,,Yes,No,Red,Yes,Green,Yes,Single Stem,Rapid,35,68,No,Short,Yes,Rounded,Slight,Yes,Yes,Yes,Medium,High,No,Medium,Medium,Low,80,Low,High,4.7,7.3,170,1200,25,80,30,None,Intermediate,-47,Early Spring,Routinely Available,High,Spring,Spring,No,Yes,No,Yes,No,No,Yes,No,No,No,22720,Moderate,Medium,No,None,No,No,No,Medium,Yes,No,Yes,Medium,Low,Yes,No,Low,Yes,Yes
1033,ACSA2,silver maple,Acer saccharinum,saccharinum,"USA (AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV), CAN (NB, ON, QC, SK)",Dicot,Aceraceae,Maple family,Perennial,Tree,"L48 (N), CAN (N)",,Spring and Summer,,Yes,No,Yellow,Yes,Green,Yes,Single Stem,Rapid,45,90,No,Moderate,Yes,Rounded,None,Yes,Yes,Yes,High,Medium,No,Low,Low,Low,120,None,Medium,4,7.3,170,700,20,70,32,Low,Intermediate,-47,Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,1610,Slow,Low,No,None,No,No,No,Medium,Yes,No,Yes,Low,Low,Yes,No,Low,No,Yes
1102,ACSP12,desert needlegrass,Achnatherum speciosum,speciosum,"USA (AZ, CA, CO, NM, NV, OR, UT)",Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,Spring and Summer,Slow,No,No,Yellow,No,Green,No,Bunch,Moderate,,2,No,Moderate,No,Erect,None,Yes,Yes,No,None,Medium,No,High,Low,High,120,None,Low,6,7.7,,,6,14,10,Low,Intolerant,-13,Late Spring,No Known Source,Medium,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,225000,Moderate,Medium,No,,No,No,Yes,,No,No,No,Medium,Medium,No,No,Low,No,No
1103,ACSP2,mountain maple,Acer spicatum,spicatum,"USA (AL, CT, GA, IA, KY, MA, MD, ME, MI, MN, NC, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV), CAN (LB, MB, NB, NF, NS, ON, PE, QC, SK), FRA (SPM)",Dicot,Aceraceae,Maple family,Perennial,"Tree, Shrub","L48 (N), CAN (N), SPM (N)",,Spring and Summer,,Yes,No,Yellow,No,Green,No,Multiple Stem,Moderate,25,25,No,Moderate,Yes,Erect,None,No,Yes,No,Low,Medium,Yes,Low,Medium,High,100,None,Medium,4.8,7,700,1100,30,70,32,None,Tolerant,-47,Spring,No Known Source,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,22720,Moderate,Medium,No,None,No,No,No,Low,No,No,Yes,Medium,Low,No,No,Low,No,No
1165,ACTH7,Thurber's needlegrass,Achnatherum thurberianum,thurberianum,"USA (CA, CO, ID, MT, NV, OR, UT, WA, WY)",Monocot,Poaceae,Grass family,Perennial,Graminoid,L48 (N),,Spring and Summer,Slow,No,No,Yellow,No,Gray-Green,No,Bunch,Moderate,,2,No,Moderate,No,Erect,None,Yes,Yes,No,None,Low,No,High,Low,High,100,None,Low,6,7.5,,,6,16,10,Low,Intolerant,-23,Mid Spring,Field Collections Only,Medium,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,225000,Slow,Medium,No,None,No,No,Yes,,No,No,No,Low,Medium,No,No,Low,No,No
1206,ACVI,Virginia threeseed mercury,Acalypha virginica,virginica,"USA (AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WV)",Dicot,Euphorbiaceae,Spurge family,Annual,Forb/herb,L48 (N),"N'EAST, SWSS","Spring, Summer, Fall",Slow,Yes,No,Red,Yes,Green,No,Single Crown,Rapid,,3,No,,No,Erect,None,No,Yes,No,None,Low,No,Medium,Medium,None,80,None,Medium,5.9,7,1100,4800,13,60,6,None,Intermediate,33,Early Summer,No Known Source,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,678000,Slow,Medium,No,None,No,No,No,,No,No,Yes,Low,Low,No,No,Low,No,No
1288,ADFA,chamise,Adenostoma fasciculatum,fasciculatum,"USA (CA, NV)",Dicot,Rosaceae,Rose family,Perennial,Shrub,L48 (N),,"Fall, Winter and Spring",,No,Yes,White,No,Dark Green,No,Thicket Forming,,6,10,Yes,Moderate,Yes,Semi-Erect,None,Yes,Yes,Yes,None,Low,No,High,Low,High,120,High,Medium,4,6,1500,1200,6,30,8,Medium,Intolerant,32,Mid Spring,Contracting Only,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,413000,Slow,High,No,,No,No,No,,No,No,No,Medium,Low,No,No,Medium,No,No
1468,AEPA,red buckeye,Aesculus pavia,pavia,"USA (AL, AR, FL, GA, IL, IN, KY, LA, MO, MS, NC, OH, OK, SC, TN, TX, VA, WV), CAN (ON)",Dicot,Hippocastanaceae,Horse-chestnut family,Perennial,"Tree, Shrub","L48 (N), CAN (I)",,Spring and Summer,,No,No,Red,Yes,Yellow-Green,Yes,Single Stem,Moderate,12,25,No,Long,Yes,Erect,Severe,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,180,Low,High,3.7,7,700,1100,36,65,20,None,Tolerant,-20,Late Spring,No Known Source,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,48,Slow,High,No,None,No,No,No,Medium,No,No,Yes,Low,Low,No,No,Low,No,No
1595,AGAU2,orange agoseris,Agoseris aurantiaca,aurantiaca,"USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, SD, UT, WA, WY), CAN (AB, BC, NT, QC, YT)",Dicot,Asteraceae,Aster family,Perennial,"Subshrub, Forb/herb","L48 (N), AK (N), CAN (N)",,Spring and Summer,Moderate,No,No,Orange,Yes,Green,Yes,Single Crown,Rapid,,1,No,Short,No,Decumbent,,Yes,Yes,Yes,None,Medium,No,Medium,Low,Medium,120,Medium,Medium,6.6,7.5,,,19,69,6,None,Intolerant,-33,Mid Spring,Contracting Only,High,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,755000,Moderate,High,No,None,No,No,No,,No,No,No,Medium,Medium,No,No,Medium,No,No
